Extension archivo original: html

BYTE |     HUFFMAN CODE
-----------------------
9           1101010100
10           00100
13           00011
32           0011
33           110101011
34           111110
35           1101000000
38           110001010
39           0101001
40           1001001
41           1001010
44           0101000
46           01111
47           11100
48           011101
49           10010111
50           110101001
51           110100001
52           110100011
53           10010001
54           11101111
55           1101010101
57           10010110
58           001011
59           1111111
60           01000
61           011100
62           01011
63           1101000001
64           110100111
65           010101100
67           110001011
68           110101000
69           0001011
70           1100011100
76           0001000
77           110001000
79           01010111
80           10010000
83           0101011010
84           0101010
86           0101011011
88           1101001010
89           110001111
90           1101001011
91           110001100
93           110001101
95           110100100
97           0000
98           001010
99           110010
100           110000
101           0110
102           1110110
103           1111110
104           111010
105           10011
106           110100110
107           1101011
108           10100
109           01001
110           100000
111           10001
112           11110
113           1100011101
114           11011
115           10101
116           1011
117           1100110
118           0001010
119           1100111
120           110001001
121           100001
122           110100010
123           11101110
125           0001001
