Extension archivo original: json

BYTE |     HUFFMAN CODE
-----------------------
10           10111
13           0000
32           11
34           001
39           0110011111000
43           011110110111
44           01010
45           000110
46           0111100
47           1001000
48           0111111
49           10101001
50           10101010
51           101010001
52           101010000
53           1001001101
54           01100010
55           0110011111001
56           01100111011
57           0111101111
58           01011
-61           000111111
65           10101011110
66           01111011001
67           1001001110
68           101010110
69           00011111011
-70           011110110110
70           0110011100
71           0110011111111
73           01100111010
76           011110110101
-77           10010011111
77           00011111000
78           000111110011
79           011001111101
80           10101011100
-83           0111101100010
82           10101011101
83           101010111110
84           0111101110
85           0111101100011
-87           0110011111110
87           011110110000
89           101010111111
91           00011101
93           00011110
-95           00011111010
97           10100
98           0111110
99           011101
100           100000
-102           000111110010
101           10110
102           10010010
103           0110010
104           00011100
105           10011
106           0110011110
107           10010011110
108           100001
109           100101
110           01000
111           01101
112           011100
113           011110110100
114           101011
115           01001
116           10001
117           00010
118           0110000
120           011001111110
121           01111010
122           1001001100
123           01100011
125           01100110
